region,country,policy_level,policy_type,key_policy_measures_and_targets,category,year,source,source_table,key_policy_measures_and_targets_______________________________________________category
China,Unknown,Subnational,Announced target,Shanghai: BEVs to make up more than 50% of new personal vehicle purchases by 2025 and more than 40% of car stock by 2035 (Plan for Carbon Peaking).,LDV,2022,Ningxia Hui Autonomous  Region Government,Table 5,
China,Unknown,Subnational,Announced target,"Ningxia: NEV sales to account for around 20% of total new car sales by 2025, new energy and clean energy-powered vehicle sales to reach around 40% by 2030 (Plan for Carbon Peaking).",LDV,2022,Liaoning Provincial Government,Table 5,
China,Unknown,Subnational,Announced target,Liaoning: Proportion of new energy- and clean energy-powered transport vehicles to reach around 40% by 2030 (Plan for Carbon Peaking).,Manufacturing,2022,Jilin Provincial Government,Table 5,
China,Unknown,Subnational,Announced target,"Jilin: Production capacity of NEVs to reach around 1 million by 2025, accounting for 20% of all cars.",LDV,2022,Jilin Provincial Government,Table 5,
China,Unknown,Subnational,Announced target,Jilin: Proportion of new energy and clean energy-powered transport vehicles to reach around 40% by 2030 (Plan for Carbon Peaking).,LDV,2022,Jiangsu Provincial Government,Table 5,
China,Unknown,Subnational,Announced target,Jiangsu: NEV sales to account for more than 20% of total new car sales by 2025 (Plan for Carbon Peaking).,LDV,2022,Inner Mongolia Autonomous  Region Government,Table 5,
China,Unknown,Subnational,Announced target,Inner-Mongolia: Inner Mongolia Autonomous Region aims for the proportion of new energy and clean energy-powered transport vehicles (excluding motorbikes) to reach around 40% by 2030 (Plan for Carbon Peaking).,Multiple,2022,Hunan Provincial Government,Table 5,
China,Unknown,Subnational,Announced target,Hunan: Proportion of transport not powered by fossil energy to reach around 40% by 2030 (Plan for Carbon Peaking).,"LDV, M/HDV",2022,Hainan Provincial Government,Table 5,
China,Unknown,Subnational,Announced target,Hainan: End sales of petrol or diesel vehicles by 2030; 100% NEVs in vehicle sales (Plan for Carbon Peaking).,Multiple,2022,Guizhou Provincial Government,Table 5,
China,Unknown,Subnational,Announced target,Guizhou: Proportion of new energy and clean energy-powered operating vehicles and ships to reach around 40% by 2030 (Plan for Carbon Peaking).,LDV,2022,Guangzhou Municipal Government,Table 5,
China,Unknown,Subnational,Announced target,"Guangzhou: 800 000 NEV stock for passenger LDVs by 2025, accounting for 20% of all car stocks by 2025. NEVs account for 50% of car sales.",LDV,2021,Guangxi Zhuang Autonomous  Region Government,Table 5,
China,Unknown,Subnational,Announced target,Guangxi: Proportion of new energy and clean energy-powered transport vehicles to reach around 40% by 2030 (Plan for Carbon Peaking).,LDV,2023,Guangdong Provincial Government,Table 5,
China,Unknown,Subnational,Announced target,Guangdong: Proportion of new energy and clean energy-powered transport vehicles to reach around 40% by 2030 (Plan for Carbon Peaking).,EVSE,2023,Chongqing Municipal People's Government,Table 5,
Asia Pacific,China,Subnational,Announced target,Chongqing: Build more than 240 000 EV chargers by 2025.,LDV,2022,Beijing Municipal Government,Table 6,
Asia Pacific,China,Subnational,Announced target,Beijing: 2 million NEVs on the road by 2025. Proportion of new vehicle sales being new energy and clean energy-powered transport to reach around 40% by 2030 (Plan for Carbon Peaking).,2/3W,2022,Government of Chinese Taipei,Table 6,
Asia Pacific,Chinese Taipei,Unknown,Objective,"EVs to make up 35% of scooter sales by 2030, 70% by 2035, and 100% by
2040.","LDV, 2/3W",2022,"National Development Council, Chinese Taipei",Table 6,
Asia Pacific,Chinese Taipei,Unknown,Objective,All new passenger cars and 2/3W to be zero-emission by 2040,Bus,2022,Government of Chinese Taipei,Table 6,
Asia Pacific,Chinese Taipei,Unknown,Objective,35% of the urban bus fleet to be electric by 2025; 100% by 2030.,LDV,2022,Government of Chinese Taipei,Table 6,
Asia Pacific,Chinese Taipei,Unknown,Objective,"EVs to make up 30% of private passenger car sales by 2030, 60% by 2035, and 100% by 2040.",M/HDV,2022,"CALSTART: Drive
to Zero MOU",Table 6,
Central and South America,Colombia,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",Multiple,2023,Government of Colombia,Table 6,
Central and South America,Colombia,National,Objective,600 000 EV stock (i.e. registrations) across all modes by 2030.,LDV,2019,Accelerating to Zero Coalition,Table 6,
Central and South America,Colombia,Multi-national,Objective,"Signatory to COP26 ZEV Declaration, committing to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.",M/HDV,2024,Government of Colombia,Table 6,
Central and South America,Colombia,National,Legislation,Law 1972 of 2019: 100% Compliance with Euro-VI equivalent standards for all HDVs in circulation by 2035.,Bus,2019,Government of Colombia,Table 6,
Central and South America,Colombia,National,Legislation,"A national minimum share of 30% EVs for new public buses purchased or rented by 2025, while city bus fleets must ensure that 10% of new buses are EVs in 2025, rising every two years up to 100% by 2035.",EVSE,2019,Government of Colombia,Table 6,
Central and South America,Colombia,National,Legislation,Minimum EV charging infrastructure requirements specify a minimum of 5 charging stations in all Special Category municipalities and 20 stations by 2022 in Bogotá.,Bus,2019,Government of Colombia,Table 6,
Central and South America,Colombia,National,Legislation,Minimum EV purchase quota of 30% for public service fleets by 2025.,LDV,2019,Government of Colombia,Table 6,
Central and South America,Colombia,National,Legislation,"Announcement of the creation of the Technological Advancement Fund. In its first year of operation, backed by  COP 12 billion (Colombian pesos), it will cover the price difference between a petrol vehicle (COP 80 million), and a zero-emission vehicle (~COP 110 million).",LDV,2024,Accelerating to Zero Coalition,Table 6,
Central and South America,Costa Rica,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,LDV,2024,Government of Costa Rica,Table 6,
Central and South America,Costa Rica,National,Objective,"25% of the fleet should be electric by 2035, 60% by 2050, and 100% of new
sales by 2050.",Bus,2018,Government of Costa Rica,Table 6,
Central and South America,Costa Rica,National,Objective,"70% of buses to be zero-emissions by 2035, 100% by 2050.",LDV,2018,Government of Costa Rica,Table 6,
Central and South America,Costa Rica,National,Objective,"70% of taxis to be zero-emissions by 2035, 100% by 2050.",M/HDV,2018,Government of Costa Rica,Table 6,
Central and South America,Costa Rica,National,Objective,At least 50% of cargo to be highly efficient by 2050.,LDV,2018,Government of Costa Rica,Table 6,
Central and South America,Costa Rica,National,Objective,"By 2050, 60% of the fleet of light vehicles (private and institutional) will be zero emissions.",Taxation,2018,Government of Costa Rica,Table 6,
Central and South America,Costa Rica,National,Legislation,Tax exemptions and reductions when purchasing an EV.,LDV,2017,Accelerating to Zero Coalition,Table 6,
Europe,Croatia,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,M/HDV,2022,"CALSTART: Drive
to Zero MOU",Table 6,
Europe,Croatia,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2022,Government of Croatia,Table 6,
Europe,Croatia,National,Proposal,Grants available for alternatively fuelled trucks.,"Multiple, EVSE",2023,Government of Cuba,Table 6,
Central and South America,Cuba,National,Objective,"45% of the total vehicle fleet in the country's state sector to be electric, and 38 000 charging points to be installed by 2030.",M/HDV,2021,"CALSTART: Drive
to Zero MOU",Table 6,
Central and South America,Curaçao,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",LDV,2022,Accelerating to Zero Coalition,Table 6,
Europe,Cyprus,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,Bus,2022,Government of Cyprus,Table 6,
Europe,Cyprus,National,Legislation,Grants towards the purchase of a new ZEV M2 class bus.,2/3W,2023,Government of Cyprus,Table 6,
Europe,Cyprus,National,Legislation,EUR 400 - 4 000 towards a new electric two/three-wheeler.,LDV,2023,Government of Cyprus,Table 6,
Europe,Cyprus,National,Legislation,"Grants towards the purchase of new or used EVs, can be combined with a scrappage scheme, higher rates apply to taxis, disabled persons, ZEVs, and large family cars.",LDV,2023,Government of the Czech Republic,Table 6,
Europe,Czechia,National,Objective,50% share of alternatively fuelled vehicles in the government (public) fleet (M1 and N1) by 2030.,Multiple,2020,Government of the Czech Republic,Table 6,
Europe,Czechia,Subnational,Legislation,"Purchase incentives for ZEVs & discounted loans on BEVs, FCEVs, and charging infrastructure","LDV, Taxation",2024,Government of the Czech Republic,Table 6,
Europe,Czechia,National,Legislation,"Exemption from registration fee and road tolls for BEV, FCEV, and HEVs with CO₂ emissions less than 50 grammes per km.",Multiple,2020,Government of the Czech Republic,Table 6,
Europe,Czechia,National,Legislation,Funding available for government or municipal purchases of alternatively fuelled vehicles with 80% of funding for BEV/PHEV solutions.,LDV,2017,Accelerating to Zero Coalition,Table 6,
Europe,Denmark,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,M/HDV,2022,"CALSTART: Drive
to Zero MOU",Table 6,
Europe,Denmark,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",LDV,2021,Government of Denmark,Table 6,
Europe,Denmark,National,Objective,1 million passenger LDV stock to be ZEV by 2030.,"M/HDV, Taxation",2020,Government of Denmark,Table 6,
Europe,Denmark,National,Legislation,Road tax for trucks will be based on CO₂ emissions from 2025.,EVSE,2022,Government of Denmark,Table 6,
Europe,Denmark,National,Legislation,Additional financing available for charging stations for housing associations.,"LDV, Taxation",2023,Government of Denmark,Table 6,
Europe,Denmark,National,Legislation,"Reduced registration taxes for zero- and low-emission cars, increasing gradually from 2026 to 2035. Typically, 60% discount for BEVs, and 35-50% discount for PHEVs. Aiming to reach the same registration tax as is seen on ICE.","LDV, Taxation",2023,Government of Denmark,Table 6,
Europe,Denmark,National,Legislation,Tax reimbursement for BEV and a reduced rate for PHEVs when purchased as company cars from 2023-2026 and tax-free charging at work.,Bus,2023,Government of Denmark,Table 6,
Europe,Denmark,National,Announced target,"Urban public transport to be emission-free from 2030, starting with new sales from 2020. 75% of public buses will be low- or zero-emission by 2030.",M/HDV,2018,"CALSTART: Drive
to Zero MOU",Table 6,
Central and South America,Dominican Republic,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2/3W,2022,Government of the Dominican Republic,Table 6,
Central and South America,Dominican Republic,National,Objective,5% of the private motorcycle fleet (plus 20% of the public sector fleet) to be electric by 2030; 35% by 2050.,Taxation,2020,Government of the Dominican Republic,Table 6,
Central and South America,Dominican Republic,National,Objective,EV owners pay only 50% of the new car sales VAT tax and the first license plate.,LDV,2020,Government of the Dominican Republic,Table 6,
Central and South America,Dominican Republic,National,Objective,10% of the private car fleet being EVs by 2030; 70% by 2050 (10% and 50% for the light commercial fleet).,EVSE,2020,Government of the Dominican Republic,Table 6,
Central and South America,Dominican Republic,National,Objective,"14 000 charging stations in 2030, 150 000 by 2050.",Bus,2020,Government of the Dominican Republic,Table 6,
Central and South America,Dominican Republic,National,Objective,"30% of the fleet to be electric by 2030, and 100% by 2050.",LDV,2020,Accelerating to Zero Coalition,Table 6,
Central and South America,Dominican Republic,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,Bus,2022,Government of Ecuador,Table 6,
Central and South America,Ecuador,National,Legislation,100% of new public transport fleet to be electric by 2025.,Taxation,2019,Government of Ecuador,Table 6,
Central and South America,Ecuador,National,Legislation,"Low and zero emission vehicles are exempt from VAT. They are also exempt of import taxes, along with charging equipment.",LDV,2021,Accelerating to Zero Coalition,Table 6,
Central and South America,El Salvador,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,Multiple,2022,Government of El Salvador,Table 6,
Central and South America,El Salvador,National,Announced target,Scenarios include 7-20% EV sales penetration in 2030.,Multiple,2021,Minister of Transport and Logistics,Table 6,
Africa,Ethiopia,National,Objective,500 000 EVs in the coming 10 years,M/HDV,2024,"CALSTART: Drive
to Zero MOU",Table 6,
Africa,Ethiopia,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",Multiple,2024,Government of Ethiopia,Table 6,
Africa,Ethiopia,National,Objective,A ban on the import of non-EVs,Taxation,2024,Government of Ethiopia,Table 6,
Africa,Ethiopia,National,Legislation,"EVs are not subject to import duties if locally assembled, reduced rates apply for partially and fully assembled imports. They are also exempt from VAT, surtax, and excise tax.",LDV,2022,European Commission,Table 6,
Europe,European Union,Supranational,Objective,European Green Deal: 13 million low-emission passenger vehicles by 2025.,"LDV, M/HDV",2019,European Commission,Table 6,
Europe,European Union,Supranational,Objective,30 million passenger ZEV stock by 2030 and nearly all passenger LDV and HDV stock by 2050 (Sustainable and Smart Mobility Strategy).,Multiple,2020,European Commission,Table 6,
Europe,European Union,Supranational,Legislation,"CO₂ emission standards: 15% CO₂ emission reduction for both new cars and vans by 2025 compared to 2021 levels, 55% for cars and 50% for vans reduction by 2030, 100% reduction by 2035.","EVSE, Multiple",2022,European Parliament,Table 6,
Europe,European Union,Supranational,Legislation,"Alternative Fuels Infrastructure Regulation: with respect to electric vehicle charging infrastructure, the regulation sets targets to ensure minimum coverage of publicly accessible recharging points for both light- and heavy- duty vehicles. Coverage is ensured on the basis of maximum distance between recharging pools, minimum power output per charging pool and individual charger power output.",Manufacturing,2023,European Commission,Table 6,
Europe,European Union,Supranational,Legislation,"The EU Battery Regulation aims to create a circular economy for the batteries sector by targeting all stages of the life cycle of batteries, from design to waste treatment.",Multiple,2023,European Commission,Table 6,
European Union,Unknown,Supranational,Proposal,"The EU Net Zero Industry Act aims to scale up manufacturing of clean technologies in the European Union, including batteries.",Manufacturing,2023,European Commission,Table 7,
European Union,Unknown,Supranational,Proposal,"Critical Raw Materials Act aims to reduce dependency on external suppliers of critical raw materials, including those needed to manufacture batteries.","M/HDV, Bus",2022,European Commission,Table 7,
European Union,Unknown,Supranational,Proposal,"CO₂ emission standards: Fleet average reductions of 45% by 2030, 65% by 2035 and 90% by 2040. All new city buses to be ZEV by 2035.","LDV, M/HDV",2024,European Commission,Table 7,
European Union,Unknown,Supranational,Proposal,"Euro 7 Regulations (provisional agreement) combine LDV and HDV regulations into one act, seeking a 35% and 13% reduction of nitrogen oxides (NOx) and tailpipe emissions, respectively, from LDVs, and 56% and 39% from HDVs relative to Euro 6/VI. Introduces minimum durability standards for LDV batteries of 80% performance by year 5 (or 100 000 km), and 70% performance between years 5 and 8 (or 160 000 km), and also regulates emissions from tyres and brakes for the first time.",LDV,2022,European Commission,Table 7,
European Union,Unknown,Supranational,Announced target,Clean Vehicles Directive: EV public procurement targets of 17.6% to 38.5% EV share of LDV sales by 2025.,Bus,2019,European Commission,Table 7,
European Union,Unknown,Supranational,Announced target,"Clean Vehicles Directive: Public procurement targets of 27% to 45% share of clean bus (M3) sales by 2026, and 33% to 65% by 2031, 50% of which must be ZEVs (or 25% if 80% or more of bus purchases in that period are double-deckers).",M/HDV,2019,European Commission,Table 7,
European Union,Unknown,Supranational,Announced target,"Clean Vehicles Directive: Public procurement targets of 6% to 10% share of clean HDV (N2 and N3) sales by 2026, and 7% to 15% by 2031.",M/HDV,2019,"CALSTART: Drive
to Zero MOU",Table 7,
Finland,Unknown,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2021,Government of Finland,Table 7,
Finland,Unknown,National,Objective,4 600 electric trucks by 2030.,LDV,2021,Government of Finland,Table 7,
Finland,Unknown,National,Objective,"700 000 electric car and 45 000 electric van stock by 2030 (of which at least
50% are BEVs).",LDV,2021,Accelerating to Zero Coalition,Table 7,
Finland,Unknown,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,EVSE,2022,Government of Finland,Table 7,
Finland,Unknown,National,Legislation,Funding support for alternative fuel infrastructure including charging stations.,"LDV, Taxation",2022,Government of Finland,Table 7,
Finland,Unknown,National,Legislation,"Zero emission cars pay 0% import tax, and the lowest annual basic vehicle tax with additional vehicle tax based on vehicle weight and a fuel multiplier.","LDV, Taxation",2022,Government of Finland,Table 7,
Finland,Unknown,National,Announced target,"At least 250 000 BEV, FCEV, and PHEVs by 2030.",M/HDV,2020,Government of France,Table 7,
France,Unknown,National,Objective,"200 heavy commercial FCEV stock by 2023, and 800-2 000 heavy commercial FCEV stock by 2028.",LDV,2019,Government of France,Table 7,
France,Unknown,National,Objective,"5 000 passenger and commercial LDV FCEV stock by 2023 and 20 000-50
000 by 2028.","Manufacturing, LDV",2018,Government of France,Table 7,
France,Unknown,National,Objective,Produce 2 million electric and hybrid cars domestically by 2030.,LDV,2021,Accelerating to Zero Coalition,Table 7,
France,Unknown,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,Bus,2022,Government of France,Table 7,
France,Unknown,National,Legislation,"At least 50% of public buses and coaches must be low-emissions, 100% from 2025. In large towns/cities, at least 50% of buses must be very low- emission from 2022.",LDV,2019,Government of France,Table 7,
France,Unknown,National,Legislation,"At least 50% of public/state LDV renewals must be low-emission vehicles, rising to 70% from 2027. For local authorities, from 2026, 37.4% of all LDV renewals must be very low-emissions.",LDV,2019,Government of France,Table 7,
France,Unknown,National,Legislation,End sale of new fossil fuel LDVs by 2040.,"Multiple, Manufacturing",2019,Government of France,Table 7,
France,Unknown,National,Legislation,"EVs must meet a minimum environmental score based on production, assembly, battery, and transport and logistics in order to qualify for French subsidies and some fiscal measures",EVSE,2023,Government of France,Table 7,
France,Unknown,National,Legislation,Subsidies of 30% of the cost of the installation of chargers that are made publicly available.,LDV,2020,Government of France,Table 7,
France,Unknown,National,Legislation,End sale of new passenger cars emitting more than 123 g CO₂/km by 2030.,M/HDV,2021,Government of France,Table 7,
France,Unknown,National,Legislation,No new sales of new HDVs assigned to the transport of people or goods and using mainly fossil fuels by 2040.,M/HDV,2021,Government of France,Table 7,
France,Unknown,National,Legislation,Grant of up to 40% of the cost of a new EV/FCEV truck.,"M/HDV, Taxation",2022,Government of France,Table 7,
France,Unknown,National,Legislation,Express deduction of 20-60% of the investment cost in alternatively fuelled trucks depending on vehicle size.,LDV,2021,Government of France,Table 7,
France,Unknown,National,Legislation,"In 2022, companies with over 100 LDVs must include at least 10% low- emissions vehicles in their renewals, rising to 20% in 2024, 35% in 2027,
and 50% by 2030 (Article 77).","EVSE, Taxation",2019,Government of France,Table 7,
France,Unknown,National,Legislation,Tax relief available on the installation of a home charger.,LDV,2020,Government of France,Table 7,
France,Unknown,National,Legislation,"Grants towards the purchase of a new BEV/FCEV, as well as used EVs and retrofits, bonuses for low-income individuals. The grants were lowered from a maximum of 7000 EUR to 4000 EUR.",Multiple,2023,Government of France,Table 7,
France,Unknown,National,Legislation,"Implementation of LEZs in metropolitan agglomerations of more than 150 000 inhabitants by 31 December 2024, and provision for interest-free EV purchase loans to low-income households living in these zones.","LDV, Taxation",2021,Government of France,Table 7,
France,Unknown,National,Announced target,"Reach 400 000 public charging points by 2030, including at least 50 000 with fast charging for a total of 8 GW of public charging capacity.",LDV,2023,Government of Gambia,Table 7,
Gambia,Unknown,National,Announced target,"Promote low emission fuel and HEVs, introduce an age limit of a maximum of 3 years for imported vehicles.","Taxation, Multiple",2022,Government of Georgia,Table 7,
Georgia,Unknown,National,Legislation,"Incentives to promote EV adoption, such as VAT exemptions and reduced import taxes for electric and hybrid vehicles.",LDV,2020,Government of Germany,Table 7,
Europe,Germany,National,Objective,Plan to have 15 million EVs on Germany roads by 2030,"LDV, M/HDV",2019,Zero Emissions Government Fleet Declaration,Table 8,
Europe,Germany,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero- emission M/HDV acquisitions, by no later than 2035. Germany also specifically for 100% of all new or replacement vehicles to be environmentally friendly drive technologies by 2030, and by 2025 at least 50% of which will be electric drives.",Taxation,2022,Government of Germany,Table 8,
Europe,Germany,National,Announced target,Approximately one-third of kilometres travelled to take place on the basis of electrical drives or eFuels by 2030.,LDV,2022,Accelerating to Zero Coalition,Table 8,
Africa,Ghana,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,M/HDV,2022,"CALSTART: Drive
to Zero MOU",Table 8,
Africa,Ghana,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",Bus,2023,Government of Ghana,Table 8,
Africa,Ghana,National,Objective,"4%, 16%, and 32% of public buses sold to be EVs in 2025, 2030, and 2050 respectively.",LDV,2022,Government of Ghana,Table 8,
Africa,Ghana,National,Objective,"4%, 16%, and 32% of cars sold to be EVs in 2025, 2030, and 2050 respectively.",LDV,2022,Accelerating to Zero Coalition,Table 8,
Europe,Greece,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,LDV,2022,Governmental,Table 8,
Europe,Greece,National,Legislation,"Registration tax exemption for BEVs; reduction of 75% for PHEVs; and reduction of 50% for HEVs. BEVs, PHEVs, and HEVs (>1549 cc) are exempt from annual circulation tax. BEVs and PHEVs as company vehicles are exempt from benefit-in-kind tax.",LDV,2021,Governmental,Table 8,
Europe,Greece,National,Legislation,Grants towards the purchase of new private BEVs and taxis. These grants are also dependent on returning old cars for scrappage and the age of the BEV buyer.,EVSE,2020,Government of Greece,Table 8,
Europe,Greece,National,Legislation,Ensure adequate charging facilities to meet EV targets.,LDV,2022,Government of Greece,Table 8,
Europe,Greece,National,Legislation,"From 2024, 25% of new company cars to have emissions less than 50gCO₂/km from 2024. 33% of taxis and leased vehicles to be zero- emissions from 2026.",LDV,2022,Government of Greece,Table 8,
Europe,Greece,National,Proposal,50% of new registrations of passenger cars and 40% of new registrations of LCVs must be electric by 2030 (National Energy Climate Plan).,LDV,2024,Accelerating to Zero Coalition,Table 8,
Europe,Holy See,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,Bus,2022,Government of Honduras,Table 8,
Central and South America,Honduras,National,Proposal,At least 50% EVs in the urban public transport sector for passengers and light cargo by 2030. Announcement of possible adoption of ZEVs for mass public transport.,LDV,2022,Government of Honduras,Table 8,
Central and South America,Honduras,National,Proposal,"20% of the fleet being electric by 2050, and 100% zero or low emission vehicles for light vehicles sales by 2050.","LDV, Taxation",2023,Governmental,Table 8,
Europe,Hungary,National,Legislation,BEVs and HEVs with a electric range above 50 km are exempt from registration tax and annual circulation tax. BEVs and PHEVs as company vehicles are exempt from taxation,"Bus, Manufacturing",2016,Government of Hungary,Table 8,
Hungary,Unknown,National,Legislation,"Funded programme that seeks to replace existing bus fleet with electric (BEV, FCEV, and trolley e-bus) options and encourage local production.",LDV,2019,Government of Hungary,Table 9,
Hungary,Unknown,National,Legislation,"Grants towards the private and commercial purchase of a BEV, up to 55% of the purchase cost for taxis.",LDV,2020,Accelerating to Zero Coalition,Table 9,
Iceland,Unknown,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,M/HDV,2022,"CALSTART: Drive
to Zero MOU",Table 9,
Iceland,Unknown,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.","LDV, Taxation",2023,Government of Iceland,Table 9,
Iceland,Unknown,National,Legislation,"As of 2024, electric and hybrid vehicles will pay road tax per kilometre driven, this will be ISK 6 (Icelandic kronur) (USD 0.04) per km. For diesel and petrol cars this will come into effect one year later, in 2025.",Multiple,2024,#VALUE!,Table 9,
Iceland,Unknown,National,Legislation,Additional funding will be provided to the Energy Fund in 2024.,LDV,2023,Government of Iceland,Table 9,
Iceland,Unknown,National,Proposal,Ban sales of passenger petrol and diesel vehicles after 2030.,LDV,2020,Government of Iceland,Table 9,
Iceland,Unknown,National,Announced target,"As of 2020, government entities will not purchase gasoline/petrol or diesel vehicles.",Multiple,2020,Government of India,Table 9,
India,Unknown,Subnational,Objective,West Bengal: 1 million EVs in stock across all segments by 2030.,Multiple,2021,"NITI Aayog, Government of India",Table 9,
India,Unknown,Subnational,Objective,Odisha: BEVs to account for 20% of total vehicle sales by 2025.,Multiple,2021,"NITI Aayog, Government of India",Table 9,
India,Unknown,Subnational,Objective,Manipur: 15% of sales to be EV by 2025.,Multiple,2021,"NITI Aayog, Government of India",Table 9,
India,Unknown,Subnational,Objective,Uttar Pradesh: Roll out nearly 1 million EVs in stock across all segments of vehicles by 2024.,2/3W,2019,"NITI Aayog, Government of India",Table 9,
India,Unknown,Subnational,Objective,Madhya Pradesh: 100% electric commercial and logistics fleet sales by 2028.,Multiple,2019,"NITI Aayog, Government of India",Table 9,
India,Unknown,Subnational,Objective,Kerala: 1 million EVs in stock by 2030 across all segments,LDV,2019,Accelerating to Zero Coalition,Table 9,
India,Unknown,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,Taxation,2021,Goa Government,Table 9,
India,Unknown,Subnational,Legislation,Goa: 100% exemption from road tax and one-time registration fee for BEVs. Subsidy of 20-50% on fixed capital investment amount (variable as per industry size). Manufacturing units will receive an exemption on goods and services tax (tax payable on purchase of goods) and stamp duty (tax payable on registration of properties).,Multiple,2021,"India, Department of Heavy Industries",Table 9,
India,Unknown,National,Legislation,"PM Electric Drive Revolution in Innovative Vehicle Enhancement (PM E- DRIVE) Scheme. USD 1.3 billion scheme to provide purchase incentives for e-2W, e-3W, e-ambulances, e-trucks and other new emerging EV categories.",Manufacturing,2024,"India, Department of Heavy Industries",Table 9,
India,Unknown,National,Legislation,"Scheme to Promote Manufacturing of Electric Passenger Cars in India (SMEC). Carmakers committing to setup e-4W manufacturing facilities in India within 3 years, and to achieve 50% domestic value addition within 5 years, will be allowed to import a limited amount of electric cars manufactured by them with reduced import duties.",Bus,2024,"India, Department of Heavy Industries",Table 9,
India,Unknown,National,Legislation,"PM e-Bus Sewa-Payment Security Mechanism (PSM) Scheme: Rs. 3,435.33 crore (USD 412 million) to support the deployment of more than 38,000 electric buses in the country.",EVSE,2024,"India, Department of Heavy Industries",Table 9,
India,Unknown,National,Legislation,Funding for charging infrastructure.,LDV,2023,Government of India,Table 9,
India,Unknown,National,Legislation,"Passenger vehicles older than 20 years and commercial vehicles older than 15 years must pass a “fitness and emissions test” to retain their registration; incentives to scrap old vehicles, including discounts on the purchase of new vehicles against a scrappage certificate.",Manufacturing,2021,"India, Department of Heavy Industries",Table 9,
India,Unknown,National,Legislation,Production Linked Incentive (PLI) Scheme for Advanced Cell Chemistry manufacturing in India.,2/3W,2021,"India, Department of Heavy Industries",Table 9,
India,Unknown,National,Legislation,"Per kWh subsidy for electric two-wheeler increased to INR 15 000/kWh from earlier subsidy of INR 10 000/kWh, with a 50% local content requirement.",Manufacturing,2019,"India, Department of Heavy Industries",Table 9,
